,version,creation_date,update_date,accession,status,name,description,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey,state,chemspider_id,drugbank_id,foodb_id,pubchem_compound_id,pdb_id,chebi_id,phenol_explorer_compound_id,knapsack_id,kegg_id,biocyc_id,bigg_id,wikipedia_id,metlin_id,vmh_id,fbonto_id,synthesis_reference,hmdb_accession
SU:427,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:31:30 UTC,HMDB0000870,quantified,Histamine,"Histamine is an amine derived by enzymatic decarboxylation of histidine. It is a powerful stimulant of gastric secretion, a constrictor of bronchial smooth muscle, a vasodilator, and also a centrally acting neurotransmitter. Histamine can be found in Photobacterium phosphoreum and Lactobacillus (PMID:17066936). Histamine belongs to the class of organic compounds known as 2-arylethylamines. These are primary amines that have the general formula RCCNH2, where R is an organic group. High amounts of histamine have been found in spinach, oats and ryes. Another foods such as green beans, broccoli, and beetroots also contain histamine but in lower concentrations. Histamine has also been detected but not quantified in several different foods, such as groundcherries, carobs, bok choy, biscuits, and longans. ",C5H9N3,111.1451,111.079647303,2-(1H-imidazol-4-yl)ethan-1-amine,histamine,51-45-6,NCCC1=CNC=N1,"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)",NTYJJOPFIAHURM-UHFFFAOYSA-N,Solid,753.0,DB05381,FDB012596,774.0,,18295.0,,C00001414,C00388,HISTAMINE,1810403.0,Histamine,68.0,HISTA,,"Pyman, Frank L. 2-Thiol-4(5)-b-aminoethylglyoxaline (2-thiolhistamine). Journal of the Chemical Society (1930), 98-100.",HMDB0000870
SU:430,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:31:31 UTC,HMDB0000873,quantified,4-Methylcatechol,"4-Methylcatechol, also known as homocatechol or toluene-3,4-diol, belongs to the class of organic compounds known as catechols. Catechols are compounds containing a 1,2-benzenediol moiety. Outside of the human body, 4-Methylcatechol is found, on average, in the highest concentration within a few different foods such as coffee and cocoa powders and in a lower concentration in beers. 4-Methylcatechol has also been detected, but not quantified in eggplants. This could make 4-methylcatechol a potential biomarker for the consumption of these foods. Recent studies have suggested that a lack of brain-derived neurotrophic factor (BDNF) in the limbic system may cause neuropathic pain (PMID:22198556). It is both a substrate and a suicide inhibitor of catechol 2,3-dioxygenase (PMID:15006807). 4-Methylcatechol is a metabolite of homoprotocatechuic acid (PMID:4974346). 4-Methylcatechol is known to induce the production of BDNF.",C7H8O2,124.1372,124.0524295,"4-methylbenzene-1,2-diol","4-methyl-1,2-benzenediol",452-86-8,CC1=CC=C(O)C(O)=C1,"InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3",ZBCATMYQYDCTIZ-UHFFFAOYSA-N,Solid,9564.0,DB04120,FDB008861,9958.0,,17254.0,704.0,C00002660,C06730,,,4-Methylcatechol,5834.0,4MCAT,,"Liang, Zesheng; Zhang, Ying; Wu, Baojun; Zhang, Mingsen; Wang, Xiu'en.  Preparation of 4-methylcatechol with good yield and selectivity.    Faming Zhuanli Shenqing Gongkai Shuomingshu  (2001),     6 pp.",HMDB0000873
SU:431,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:31:32 UTC,HMDB0000875,quantified,Trigonelline,"Trigonelline, also known as caffearin or gynesine, belongs to the class of organic compounds known as alkaloids and derivatives. These are naturally occurring chemical compounds that contain mostly basic nitrogen atoms. This group also includes some related compounds with neutral and even weakly acidic properties. Also some synthetic compounds of similar structure are attributed to alkaloids. In addition to carbon, hydrogen and nitrogen, alkaloids may also contain oxygen, sulfur and more rarely other elements such as chlorine, bromine, and phosphorus. It is also found in coffee, where it may help to prevent dental caries by preventing the bacteria Streptococcus mutans from adhering to teeth. Trigonelline is an alkaloid with chemical formula C7H7NO2 and CAS number 535-83-1. Trigonelline is a product of the metabolism of niacin (vitamin B3) which is excreted in the urine. High amounts of trigonelline have been found in arabica coffee, fenugreeks, and common peas. Another foods such as yellow bell peppers, orange bellpeppers and muskmelons also contain trigonelline but in lower concentrations. Trigonelline has also been detected but not quantified in several different foods, such as rices, triticales, alfalfa, cereals and cereal products, and ryes. Trigonelline in the urine is a biomarker for the consumption of coffee, legumes and soy products.   ",C7H7NO2,137.136,137.047678473,1-methylpyridin-1-ium-3-carboxylate,trigonelline,535-83-1,C[N+]1=CC=CC(=C1)C([O-])=O,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,Solid,5369.0,,FDB002237,5570.0,,18123.0,,C00001555,C01004,METHYLNICOTINATE,,Trigonelline,273.0,,,"Sarett, Herbert P.; Perlzweig, William A.; Levy, Edward D.  Synthesis and excretion of trigonelline.    Journal of Biological Chemistry  (1940),  135  483-5.",HMDB0000875
SU:434,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:45:28 UTC,HMDB0000883,quantified,L-Valine,"Valine (Val) or L-valine is an alpha-amino acid. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).  Amino acids are organic compounds that contain amino (‚ÄìNH2) and carboxyl (‚ÄìCOOH) functional groups, along with a side chain (R group) specific to each amino acid. L-valine is one of 20 proteinogenic amino acids, i.e., the amino acids used in the biosynthesis of proteins. Valine is found in all organisms ranging from bacteria to plants to animals. It is classified as a non-polar, uncharged (at physiological pH) aliphatic amino acid. Valine was first isolated from casein in 1901 by Hermann Emil Fischer. The name valine comes from valeric acid, which in turn is named after the plant valerian due to the presence of valine in the roots of the plant. Valine is essential in humans, meaning the body cannot synthesize it, and it must be obtained from the diet. Human dietary sources are foods that contain protein, such as meats, dairy products, soy products, beans and legumes. L-valine is a branched chain amino acid (BCAA).  The BCAAs consist of leucine, valine and isoleucine (and occasionally threonine). BCAAs are essential amino acids whose carbon structure is marked by a branch point at the beta-carbon position. BCAAs are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. BCAAs have different metabolic routes, with valine going solely to carbohydrates (glucogenic), leucine solely to fats (ketogenic) and isoleucine being both a glucogenic and a ketogenic amino acid. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Like other branched-chain amino acids, the catabolism of valine starts with the removal of the amino group by transamination, giving alpha-ketoisovalerate, an alpha-keto acid, which is converted to isobutyryl-CoA through oxidative decarboxylation by the branched-chain Œ±-ketoacid dehydrogenase complex. This is further oxidised and rearranged to succinyl-CoA, which can enter the citric acid cycle. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt. Valine in particular, has been established as a useful supplemental therapy to the ailing liver. Valine, like other branched-chain amino acids, is associated with insulin resistance: higher levels of valine are observed in the blood of diabetic mice, rats, and humans (PMID: 25287287). Mice fed a valine deprivation diet for one day have improved insulin sensitivity and feeding of a valine deprivation diet for one week significantly decreases blood glucose levels (PMID: 24684822). In diet-induced obese and insulin resistant mice, a diet with decreased levels of valine and the other branched-chain amino acids results in reduced adiposity and improved insulin sensitivity (PMID: 29266268). In sickle-cell disease, valine substitutes for the hydrophilic amino acid glutamic acid in hemoglobin. Because valine is hydrophobic, the hemoglobin does not fold correctly. Hypervalinemia is another example of an inborn error of metabolism involving valine. ",C5H11NO2,117.1463,117.078978601,(2S)-2-amino-3-methylbutanoic acid,L-valine,72-18-4,CC(C)[C@H](N)C(O)=O,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",KZSNJWFQEVHDMF-BYPYZUCNSA-N,Solid,6050.0,DB00161,FDB004905,6287.0,,16414.0,,C00001398,C00183,VAL,34167.0,L-valine,5842.0,VAL_L,,"Kinoshita, Shukuo; Udaka, Shigezo.  L-Valine production by fermentation.    (1962),     2 pp.",HMDB0000883
SU:434,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:45:28 UTC,HMDB0000883,quantified,L-Valine,"Valine (Val) or L-valine is an alpha-amino acid. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).  Amino acids are organic compounds that contain amino (‚ÄìNH2) and carboxyl (‚ÄìCOOH) functional groups, along with a side chain (R group) specific to each amino acid. L-valine is one of 20 proteinogenic amino acids, i.e., the amino acids used in the biosynthesis of proteins. Valine is found in all organisms ranging from bacteria to plants to animals. It is classified as a non-polar, uncharged (at physiological pH) aliphatic amino acid. Valine was first isolated from casein in 1901 by Hermann Emil Fischer. The name valine comes from valeric acid, which in turn is named after the plant valerian due to the presence of valine in the roots of the plant. Valine is essential in humans, meaning the body cannot synthesize it, and it must be obtained from the diet. Human dietary sources are foods that contain protein, such as meats, dairy products, soy products, beans and legumes. L-valine is a branched chain amino acid (BCAA).  The BCAAs consist of leucine, valine and isoleucine (and occasionally threonine). BCAAs are essential amino acids whose carbon structure is marked by a branch point at the beta-carbon position. BCAAs are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. BCAAs have different metabolic routes, with valine going solely to carbohydrates (glucogenic), leucine solely to fats (ketogenic) and isoleucine being both a glucogenic and a ketogenic amino acid. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Like other branched-chain amino acids, the catabolism of valine starts with the removal of the amino group by transamination, giving alpha-ketoisovalerate, an alpha-keto acid, which is converted to isobutyryl-CoA through oxidative decarboxylation by the branched-chain Œ±-ketoacid dehydrogenase complex. This is further oxidised and rearranged to succinyl-CoA, which can enter the citric acid cycle. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt. Valine in particular, has been established as a useful supplemental therapy to the ailing liver. Valine, like other branched-chain amino acids, is associated with insulin resistance: higher levels of valine are observed in the blood of diabetic mice, rats, and humans (PMID: 25287287). Mice fed a valine deprivation diet for one day have improved insulin sensitivity and feeding of a valine deprivation diet for one week significantly decreases blood glucose levels (PMID: 24684822). In diet-induced obese and insulin resistant mice, a diet with decreased levels of valine and the other branched-chain amino acids results in reduced adiposity and improved insulin sensitivity (PMID: 29266268). In sickle-cell disease, valine substitutes for the hydrophilic amino acid glutamic acid in hemoglobin. Because valine is hydrophobic, the hemoglobin does not fold correctly. Hypervalinemia is another example of an inborn error of metabolism involving valine. ",C5H11NO2,117.1463,117.078978601,(2S)-2-amino-3-methylbutanoic acid,L-valine,72-18-4,CC(C)[C@H](N)C(O)=O,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",KZSNJWFQEVHDMF-BYPYZUCNSA-N,Solid,6050.0,DB00161,FDB004905,6287.0,,16414.0,,C00001398,C00183,VAL,34167.0,L-valine,5842.0,VAL_L,,"Kinoshita, Shukuo; Udaka, Shigezo.  L-Valine production by fermentation.    (1962),     2 pp.",HMDB0000883
SU:435,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:46:09 UTC,HMDB0000884,quantified,Ribothymidine,"Ribothymidine is an endogenous methylated nucleoside found in human fluids; methylated purine bases are present in higher amounts in tumor-bearing patients compared to healthy controls.DNA hypermethylation is a common finding in malignant cells and has been explored as a therapeutic target for hypomethylating agents. When chemical bonds to DNA, the DNA becomes damaged and proper and complete replication cannot occur to make the normal intended cell. A DNA adduct is an abnormal piece of DNA covalently-bonded to a cancer-causing chemical. This has shown to be the start of a cancerous cell, or carcinogenesis. DNA adducts in scientific experiments are used as bio-markers and as such are themselves measured to reflect quantitatively, for comparison, the amount of cancer in the subject. (PMID:3506820, 17044778, 17264127, 16799933).",C10H14N2O6,258.228,258.08518619,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",thymidin,1463-10-1,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,"InChI=1S/C10H14N2O6/c1-4-2-12(10(17)11-8(4)16)9-7(15)6(14)5(3-13)18-9/h2,5-7,9,13-15H,3H2,1H3,(H,11,16,17)/t5-,6-,7-,9-/m1/s1",DWRXFEITVBNRMK-JXOAFFINSA-N,Solid,393058.0,,FDB022298,445408.0,,45996.0,,,,CPD-15123,,5-methyluridine,5843.0,,,"Maruyama, Shogo; Kumon, Satoru.  5-Methyluridine manufacture with microorganism.    Jpn. Kokai Tokkyo Koho  (1996),     6 pp.",HMDB0000884
SU:438,5.0,2005-11-16 15:48:42 UTC,2021-09-07 16:45:27 UTC,HMDB0000892,quantified,Valeric acid,"Valeric acid, or pentanoic acid, is a straight chain alkyl carboxylic acid with the chemical formula CH3(CH2)3COOH. Like other low molecular weight carboxylic acids, it has a very unpleasant odor. Valeric acid is commonly found in human feces, with an average concentration of 2.4 umol/g feces (range of 0.6-3.8 umol/g) (PMID:6740214). Valeric acid is produced by the gut microbiota, typically Clostridia species and other gut bacterial species such as Megasphaera massiliensis MRx0029 (PMID:30052654) via the condensation of ethanol with propionic acid (PMID:18116989). Valeric acid is largely considered as a gut microbial metabolite. Recently, valeric acid has been found to exert strong gut protective effects. Studies involving mice that received high doses of radiation showed that valeric acid replenishment (via oral gavage) elevated the survival rate of irradiated mice, protected hematogenic organs (such as the thymus and spleen), improved gastrointestinal (GI) tract function and enhanced intestinal epithelial integrity (PMID:31931652 ). Valeric acid was also found to restore the enteric bacteria taxonomic proportions and reprogram the small intestinal protein profile to normal levels. Valeric acid, like butyric acid, also appears to be a potent histone deacetylase (HDAC) inhibitor. High levels of HDAC proteins have been implicated in a variety of disease pathologies, from cancer and colitis to cardiovascular disease and neurodegeneration (PMID:30052654). Valeric acid is also found in certain plants, specifically in the perennial flowering plant valerian (Valeriana officinalis), from which it gets its name. Industrially valeric acid is primarily used is in the synthesis of its esters. Volatile esters of valeric acid tend to have pleasant odors and are used in perfumes and cosmetics. Ethyl valerate and pentyl valerate are used as food additives because of their fruity flavours. Hydrolysis of these valerate-containing food additives in the gut can also lead to the appearance of valerate in blood, urine and stool samples.",C5H10O2,102.1317,102.068079564,pentanoic acid,N-valeric acid,109-52-4,CCCCC(O)=O,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Liquid,7701.0,DB02406,FDB003230,7991.0,,17418.0,,C00001208,C00803,,,Valeric acid,110.0,M03134,,"Ruiz, Maria Olga; Cabezas, Jose Luis; Escudero, Isabel; Coca, Jose.  Valeric acid extraction with tri-n-butyl phosphate impregnated in a macroporous resin: II. Studies in fixed bed columns.    Journal of Chemical Technology and Biotechnology  (2006),  81(3),  275-281.",HMDB0000892
SU:439,5.0,2005-11-16 15:48:42 UTC,2021-10-13 04:31:39 UTC,HMDB0000893,quantified,Suberic acid,"Suberic acid, also octanedioic acid, is a dicarboxylic acid, with formula C6H12(COOH)2. It is present in the urine of patients with fatty acid oxidation disorders (PMID 10404733). A metabolic breakdown product derived from oleic acid. Elevated levels of this unstaruated dicarboxylic acid are found in individuals with medium-chain acyl-CoA dehydrogenase deficiency (MCAD). Suberic acid is also found to be associated with carnitine-acylcarnitine translocase deficiency, malonyl-Coa decarboxylase deficiency, which are also inborn errors of metabolism.",C8H14O4,174.1944,174.089208936,octanedioic acid,suberic acid,505-48-6,OC(=O)CCCCCCC(O)=O,"InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)",TYFQFVWCELRYAO-UHFFFAOYSA-N,Solid,10025.0,,FDB003340,10457.0,,9300.0,,C00001204,C08278,CPD0-1264,,Suberic_acid,4243.0,SUBEAC,,"Ayorinde, Folahan O.; Osman, Gamal; Shepard, Robert L.; Powers, Fiona T.  Synthesis of azelaic acid and suberic acid from Vernonia galamensis oil.    JAOCS, J. Am. Oil Chem. Soc.  (1988),  65(11),  1774-7. ",HMDB0000893
SU:441,5.0,2005-11-16 15:48:42 UTC,2021-09-07 16:45:27 UTC,HMDB0000895,quantified,Acetylcholine,"Acetylcholine (ACh) is a neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. Its physiological and pharmacological effects, metabolism, release, and receptors have been well documented in several species. ACh has been considered an important excitatory neurotransmitter in the carotid body (CB). Various nicotinic and muscarinic ACh receptors are present in both afferent nerve endings and glomus cells. Therefore, ACh can depolarize or hyperpolarize the cell membrane depending on the available receptor type in the vicinity. Binding of ACh to its receptor can create a wide variety of cellular responses including opening cation channels (nicotinic ACh receptor activation), releasing Ca2+ from intracellular storage sites (via muscarinic ACh receptors), and modulating activities of K+ and Ca2+ channels. Interactions between ACh and other neurotransmitters (dopamine, adenosine, nitric oxide) have been known, and they may induce complicated responses. Cholinergic biology in the CB differs among species and even within the same species due to different genetic composition. Development and environment influence cholinergic biology. Pharmacological data clearly indicate that both muscarinic and nicotinic acetylcholine receptors have a role in the encoding of new memories. Localized lesions and antagonist infusions demonstrate the anatomical locus of these cholinergic effects, and computational modeling links the function of cholinergic modulation to specific cellular effects within these regions. Acetylcholine has been shown to increase the strength of afferent input relative to feedback, to contribute to theta rhythm oscillations, activate intrinsic mechanisms for persistent spiking, and increase the modification of synapses. These effects might enhance different types of encoding in different cortical structures. In particular, the effects in entorhinal and perirhinal cortex and hippocampus might be important for encoding new episodic memories. The role of ACh in attention has been repeatedly demonstrated in several tasks. Acetylcholine is linked to response accuracy in voluntary and reflexive attention and also to response speed in reflexive attention. It is well known that those with Attention-deficit/hyperactivity disorders tend to be inaccurate and slow to respond. (PMID:17284361, 17011181, 15556286). Acetylcholine has been found to be a microbial product, urinary acetylcholine is produced by Lactobacillus (PMID:24621061).",C7H16NO2,146.2074,146.118103761,[2-(acetyloxy)ethyl]trimethylazanium,acetylcholine,51-84-3,CC(=O)OCC[N+](C)(C)C,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,Solid,182.0,DB03128,FDB012191,187.0,,15355.0,,C00054040,C01996,ACETYLCHOLINE,38868.0,Acetylcholine,57.0,ACH,,"Szutowicz, Andrzej.  Acetylcholine synthesis in synaptosomes.    Postepy Biochemii  (1979),  25(1),  59-84. ",HMDB0000895
SU:441,5.0,2005-11-16 15:48:42 UTC,2021-09-07 16:45:27 UTC,HMDB0000895,quantified,Acetylcholine,"Acetylcholine (ACh) is a neurotransmitter. Acetylcholine in vertebrates is the major transmitter at neuromuscular junctions, autonomic ganglia, parasympathetic effector junctions, a subset of sympathetic effector junctions, and at many sites in the central nervous system. Its physiological and pharmacological effects, metabolism, release, and receptors have been well documented in several species. ACh has been considered an important excitatory neurotransmitter in the carotid body (CB). Various nicotinic and muscarinic ACh receptors are present in both afferent nerve endings and glomus cells. Therefore, ACh can depolarize or hyperpolarize the cell membrane depending on the available receptor type in the vicinity. Binding of ACh to its receptor can create a wide variety of cellular responses including opening cation channels (nicotinic ACh receptor activation), releasing Ca2+ from intracellular storage sites (via muscarinic ACh receptors), and modulating activities of K+ and Ca2+ channels. Interactions between ACh and other neurotransmitters (dopamine, adenosine, nitric oxide) have been known, and they may induce complicated responses. Cholinergic biology in the CB differs among species and even within the same species due to different genetic composition. Development and environment influence cholinergic biology. Pharmacological data clearly indicate that both muscarinic and nicotinic acetylcholine receptors have a role in the encoding of new memories. Localized lesions and antagonist infusions demonstrate the anatomical locus of these cholinergic effects, and computational modeling links the function of cholinergic modulation to specific cellular effects within these regions. Acetylcholine has been shown to increase the strength of afferent input relative to feedback, to contribute to theta rhythm oscillations, activate intrinsic mechanisms for persistent spiking, and increase the modification of synapses. These effects might enhance different types of encoding in different cortical structures. In particular, the effects in entorhinal and perirhinal cortex and hippocampus might be important for encoding new episodic memories. The role of ACh in attention has been repeatedly demonstrated in several tasks. Acetylcholine is linked to response accuracy in voluntary and reflexive attention and also to response speed in reflexive attention. It is well known that those with Attention-deficit/hyperactivity disorders tend to be inaccurate and slow to respond. (PMID:17284361, 17011181, 15556286). Acetylcholine has been found to be a microbial product, urinary acetylcholine is produced by Lactobacillus (PMID:24621061).",C7H16NO2,146.2074,146.118103761,[2-(acetyloxy)ethyl]trimethylazanium,acetylcholine,51-84-3,CC(=O)OCC[N+](C)(C)C,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,Solid,182.0,DB03128,FDB012191,187.0,,15355.0,,C00054040,C01996,ACETYLCHOLINE,38868.0,Acetylcholine,57.0,ACH,,"Szutowicz, Andrzej.  Acetylcholine synthesis in synaptosomes.    Postepy Biochemii  (1979),  25(1),  59-84. ",HMDB0000895
SU:448,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:20:02 UTC,HMDB0000904,quantified,Citrulline,"Citrulline, also known as Cit or δ-ureidonorvaline, belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom. Citrulline has the formula H2NC(O)NH(CH2)3CH(NH2)CO2H. Citrulline exists in all living species, ranging from bacteria to humans. Within humans, citrulline participates in a number of enzymatic reactions. In particular, citrulline can be biosynthesized from carbamoyl phosphate and ornithine which is catalyzed by the enzyme ornithine carbamoyltransferase. In addition, citrulline and L-aspartic acid can be converted into argininosuccinic acid through the action of the enzyme argininosuccinate synthase. In humans, citrulline is involved in the metabolic disorder called argininemia. Citrulline has also been found to be associated with several diseases such as ulcerative colitis, rheumatoid arthritis, and citrullinemia type II. Citrulline has also been linked to several inborn metabolic disorders including argininosuccinic aciduria and fumarase deficiency. Outside of the human body, citrulline is found, on average, in the highest concentration in a few different foods such as wheats, oats, and cucumbers and in a lower concentration in swiss chards, yellow wax beans, and potato. Citrulline has also been detected, but not quantified in several different foods, such as epazotes, lotus, common buckwheats, strawberry guava, and italian sweet red peppers. Citrulline is a potentially toxic compound.  Proteins that normally contain citrulline residues include myelin basic protein (MBP), filaggrin, and several histone proteins, whereas other proteins, such as fibrin and vimentin are susceptible to citrullination during cell death and tissue inflammation.  Citrulline is also produced as a byproduct of the enzymatic production of nitric oxide from the amino acid arginine, catalyzed by nitric oxide synthase. It is also produced from arginine as a byproduct of the reaction catalyzed by NOS family (NOS; EC1.14.13.39). ",C6H13N3O3,175.1857,175.095691297,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,L-citrulline,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,Solid,9367.0,DB00155,FDB011841,9750.0,,16349.0,,C00001348,C00327,L-CITRULLINE,34627.0,Citrulline,16.0,CITR_L,,"Kakimoto, Toshio; Shibatani, Takeji; Nishimura, Noriyuki; Chibata, Ichiro. Enzymic production of L-citrulline by Pseudomonas putida. Applied Microbiology (1971), 22(6), 992-9.",HMDB0000904
SU:448,5.0,2005-11-16 15:48:42 UTC,2021-09-14 15:20:02 UTC,HMDB0000904,quantified,Citrulline,"Citrulline, also known as Cit or δ-ureidonorvaline, belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom. Citrulline has the formula H2NC(O)NH(CH2)3CH(NH2)CO2H. Citrulline exists in all living species, ranging from bacteria to humans. Within humans, citrulline participates in a number of enzymatic reactions. In particular, citrulline can be biosynthesized from carbamoyl phosphate and ornithine which is catalyzed by the enzyme ornithine carbamoyltransferase. In addition, citrulline and L-aspartic acid can be converted into argininosuccinic acid through the action of the enzyme argininosuccinate synthase. In humans, citrulline is involved in the metabolic disorder called argininemia. Citrulline has also been found to be associated with several diseases such as ulcerative colitis, rheumatoid arthritis, and citrullinemia type II. Citrulline has also been linked to several inborn metabolic disorders including argininosuccinic aciduria and fumarase deficiency. Outside of the human body, citrulline is found, on average, in the highest concentration in a few different foods such as wheats, oats, and cucumbers and in a lower concentration in swiss chards, yellow wax beans, and potato. Citrulline has also been detected, but not quantified in several different foods, such as epazotes, lotus, common buckwheats, strawberry guava, and italian sweet red peppers. Citrulline is a potentially toxic compound.  Proteins that normally contain citrulline residues include myelin basic protein (MBP), filaggrin, and several histone proteins, whereas other proteins, such as fibrin and vimentin are susceptible to citrullination during cell death and tissue inflammation.  Citrulline is also produced as a byproduct of the enzymatic production of nitric oxide from the amino acid arginine, catalyzed by nitric oxide synthase. It is also produced from arginine as a byproduct of the reaction catalyzed by NOS family (NOS; EC1.14.13.39). ",C6H13N3O3,175.1857,175.095691297,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,L-citrulline,372-75-8,N[C@@H](CCCNC(N)=O)C(O)=O,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,Solid,9367.0,DB00155,FDB011841,9750.0,,16349.0,,C00001348,C00327,L-CITRULLINE,34627.0,Citrulline,16.0,CITR_L,,"Kakimoto, Toshio; Shibatani, Takeji; Nishimura, Noriyuki; Chibata, Ichiro. Enzymic production of L-citrulline by Pseudomonas putida. Applied Microbiology (1971), 22(6), 992-9.",HMDB0000904
